selected_date,entropy_weight,allocation_id,worker_counts,reused_allocation,observed_workers,effective_workers,seed,total_workers,zones,active_zones,worker_allocation_entropy_normalized,demand_worker_l1_gap,picking_lists,pick_tasks,picked_units,total_distance_m,movement_events,movement_seconds,congestion_conflicts,edge_conflicts,pick_node_conflicts,congestion_wait_seconds,mean_conflict_wait_seconds,p95_conflict_wait_seconds,max_conflict_wait_seconds,congestion_delay_ratio,mean_release_delay_seconds,max_release_delay_seconds,mean_flow_time_seconds,makespan_seconds,entropy_samples,mean_spatial_entropy_normalized,mean_spatial_entropy_multiworker,min_spatial_entropy_normalized,max_spatial_entropy_normalized,mean_max_concentration,shared_worker_ratio,occupied_spatial_cells,congested_cell_seconds,max_cell_occupancy,simulation_elapsed_seconds
2023-01-05,0.0,A001,0|1|6|1,False,8,8,42,8,4,3,0.5306390622295665,0.06487975951903806,85,1996,1996.0,4292.520000000011,12702,3577.099999998991,324,223,101,386.41666666677514,1.1926440329221455,3.0,5.25,0.09749338760617371,257.7674509803673,878.3666666666591,374.8441176470235,15131.733333333197,371,0.7467558773724102,0.9755156003702964,0.0,1.0,0.3817930945963291,0.057971014492753624,629,266.3333333333653,7,15131.733333333197
2023-01-05,0.05,A001,0|1|6|1,True,8,8,42,8,4,3,0.5306390622295665,0.06487975951903806,85,1996,1996.0,4292.520000000011,12702,3577.099999998991,324,223,101,386.41666666677514,1.1926440329221455,3.0,5.25,0.09749338760617371,257.7674509803673,878.3666666666591,374.8441176470235,15131.733333333197,371,0.7467558773724102,0.9755156003702964,0.0,1.0,0.3817930945963291,0.057971014492753624,629,266.3333333333653,7,15131.733333333197
2023-01-05,0.1,A001,0|1|6|1,True,8,8,42,8,4,3,0.5306390622295665,0.06487975951903806,85,1996,1996.0,4292.520000000011,12702,3577.099999998991,324,223,101,386.41666666677514,1.1926440329221455,3.0,5.25,0.09749338760617371,257.7674509803673,878.3666666666591,374.8441176470235,15131.733333333197,371,0.7467558773724102,0.9755156003702964,0.0,1.0,0.3817930945963291,0.057971014492753624,629,266.3333333333653,7,15131.733333333197
2023-01-05,0.25,A001,0|1|6|1,True,8,8,42,8,4,3,0.5306390622295665,0.06487975951903806,85,1996,1996.0,4292.520000000011,12702,3577.099999998991,324,223,101,386.41666666677514,1.1926440329221455,3.0,5.25,0.09749338760617371,257.7674509803673,878.3666666666591,374.8441176470235,15131.733333333197,371,0.7467558773724102,0.9755156003702964,0.0,1.0,0.3817930945963291,0.057971014492753624,629,266.3333333333653,7,15131.733333333197
2023-01-05,0.5,A002,0|1|5|2,False,8,8,42,8,4,3,0.6493974703476992,0.16558116232464926,85,1996,1996.0,4292.519999999975,12702,3577.099999998982,272,199,73,295.4000000000673,1.0860294117649532,3.0,6.0,0.07628147191740214,272.29235294114443,733.7166666665162,388.29823529407446,15257.949999999839,333,0.9519791921358594,0.9784230585840777,0.0,1.0,0.2263084513084513,0.04292929292929293,631,182.6666666667455,7,15257.949999999839
2023-01-05,0.75,A002,0|1|5|2,True,8,8,42,8,4,3,0.6493974703476992,0.16558116232464926,85,1996,1996.0,4292.519999999975,12702,3577.099999998982,272,199,73,295.4000000000673,1.0860294117649532,3.0,6.0,0.07628147191740214,272.29235294114443,733.7166666665162,388.29823529407446,15257.949999999839,333,0.9519791921358594,0.9784230585840777,0.0,1.0,0.2263084513084513,0.04292929292929293,631,182.6666666667455,7,15257.949999999839
2023-01-05,1.0,A002,0|1|5|2,True,8,8,42,8,4,3,0.6493974703476992,0.16558116232464926,85,1996,1996.0,4292.519999999975,12702,3577.099999998982,272,199,73,295.4000000000673,1.0860294117649532,3.0,6.0,0.07628147191740214,272.29235294114443,733.7166666665162,388.29823529407446,15257.949999999839,333,0.9519791921358594,0.9784230585840777,0.0,1.0,0.2263084513084513,0.04292929292929293,631,182.6666666667455,7,15257.949999999839
2023-01-05,2.0,A003,0|2|4|2,False,8,8,42,8,4,3,0.75,0.29058116232464926,85,1996,1996.0,4292.519999999922,12702,3577.0999999989763,235,163,72,282.6583333333851,1.2028014184399367,3.0,5.25,0.07323213240901255,347.53970588231005,947.5833333331484,463.3956862744555,15464.699999999788,407,0.9593260678840289,0.9761142740719994,0.0,1.0,0.2592810342810343,0.04251012145748988,628,185.61666666665172,7,15464.699999999788
2023-01-05,4.0,A004,0|2|3|3,False,8,8,42,8,4,3,0.7806390622295665,0.41558116232464926,85,1996,1996.0,4292.519999999959,12702,3577.099999999016,241,167,74,303.158333333421,1.2579183955743611,3.0833333333329165,6.0,0.07812838921811247,463.2423529411181,1249.483333333099,579.3395098038527,15766.316666666406,535,0.9625501866458114,0.9753112686657369,0.0,1.0,0.3355229194481531,0.04795557799091368,627,192.52500000002675,7,15766.316666666406
2023-01-05,8.0,A004,0|2|3|3,True,8,8,42,8,4,3,0.7806390622295665,0.41558116232464926,85,1996,1996.0,4292.519999999959,12702,3577.099999999016,241,167,74,303.158333333421,1.2579183955743611,3.0833333333329165,6.0,0.07812838921811247,463.2423529411181,1249.483333333099,579.3395098038527,15766.316666666406,535,0.9625501866458114,0.9753112686657369,0.0,1.0,0.3355229194481531,0.04795557799091368,627,192.52500000002675,7,15766.316666666406
2023-01-06,0.0,A001,0|1|6|1,False,8,8,42,8,4,3,0.5306390622295665,0.01582278481012657,65,1422,1422.0,3108.360000000031,8988,2590.2999999999392,192,154,38,157.36666666666775,0.8196180555555612,3.0,3.0,0.05727283755914273,348.85205128204956,809.7666666666598,456.75461538461275,992.216666666658,199,0.9617752451973336,0.98656326698077,0.0,1.0,0.18368628858578606,0.027698863636363636,620,87.75000000000018,4,992.216666666658
2023-01-06,0.05,A001,0|1|6|1,True,8,8,42,8,4,3,0.5306390622295665,0.01582278481012657,65,1422,1422.0,3108.360000000031,8988,2590.2999999999392,192,154,38,157.36666666666775,0.8196180555555612,3.0,3.0,0.05727283755914273,348.85205128204956,809.7666666666598,456.75461538461275,992.216666666658,199,0.9617752451973336,0.98656326698077,0.0,1.0,0.18368628858578606,0.027698863636363636,620,87.75000000000018,4,992.216666666658
2023-01-06,0.1,A001,0|1|6|1,True,8,8,42,8,4,3,0.5306390622295665,0.01582278481012657,65,1422,1422.0,3108.360000000031,8988,2590.2999999999392,192,154,38,157.36666666666775,0.8196180555555612,3.0,3.0,0.05727283755914273,348.85205128204956,809.7666666666598,456.75461538461275,992.216666666658,199,0.9617752451973336,0.98656326698077,0.0,1.0,0.18368628858578606,0.027698863636363636,620,87.75000000000018,4,992.216666666658
2023-01-06,0.25,A001,0|1|6|1,True,8,8,42,8,4,3,0.5306390622295665,0.01582278481012657,65,1422,1422.0,3108.360000000031,8988,2590.2999999999392,192,154,38,157.36666666666775,0.8196180555555612,3.0,3.0,0.05727283755914273,348.85205128204956,809.7666666666598,456.75461538461275,992.216666666658,199,0.9617752451973336,0.98656326698077,0.0,1.0,0.18368628858578606,0.027698863636363636,620,87.75000000000018,4,992.216666666658
