selected_date,picking_lists,pick_tasks,picked_units,observed_workers,active_zones,demand_task_entropy_normalized,demand_unit_entropy_normalized
2023-07-19,39,872,872.0,5,3,0.7332192930307578,0.7332192930307578
2023-07-24,44,937,937.0,7,3,0.7828232792983517,0.7828232792983517
2023-07-25,31,662,662.0,5,3,0.7348619867887546,0.7348619867887546
2023-07-26,24,422,422.0,7,3,0.7269914974416358,0.7269914974416358
2023-07-27,27,540,540.0,6,3,0.6709002276295081,0.6709002276295081
2023-07-28,31,618,618.0,10,3,0.8116375452780702,0.8116375452780702
2023-07-31,27,515,515.0,7,3,0.7917045585619354,0.7917045585619354
2023-08-03,25,482,482.0,6,3,0.7336098044576534,0.7336098044576534
2023-08-07,69,1557,1557.0,8,3,0.7821039547909675,0.7821039547909675
2023-08-08,25,557,557.0,7,3,0.687202593556739,0.687202593556739
2023-08-10,27,606,606.0,8,3,0.690056722051297,0.690056722051297
2023-08-13,51,1130,1130.0,6,3,0.7498265195929416,0.7498265195929416
2023-08-15,44,1017,1017.0,5,3,0.7992269033040097,0.7992269033040097
2023-08-16,38,853,853.0,6,2,0.7183467867717279,0.7183467867717279
2023-08-17,48,1126,1126.0,5,3,0.6199737294413836,0.6199737294413836
2023-08-22,191,4459,4459.0,7,3,0.834019047110265,0.834019047110265
2023-08-24,120,2771,2771.0,7,3,0.7659147043389407,0.7659147043389407
2023-08-28,101,2322,2322.0,8,3,0.8075291051137824,0.8075291051137824
2023-08-29,27,577,577.0,6,3,0.7637631382313277,0.7637631382313277
2023-08-30,50,1139,1139.0,6,3,0.794203882274915,0.794203882274915
2023-08-31,67,1550,1550.0,5,3,0.7631422889510404,0.7631422889510404
2023-09-01,46,1001,1001.0,5,3,0.6660058306709549,0.6660058306709549
2023-09-05,58,1309,1309.0,6,3,0.8021959418606829,0.8021959418606829
2023-09-07,33,715,715.0,6,3,0.7441653565707446,0.7441653565707446
2023-09-10,39,968,968.0,7,3,0.3849998476086171,0.3849998476086171
2023-09-12,86,2021,2021.0,7,3,0.8185198597787535,0.8185198597787535
2023-09-13,52,1196,1196.0,6,3,0.7936877412446219,0.7936877412446219
2023-09-17,50,1245,1245.0,5,2,0.5474740558879249,0.5474740558879249
2023-09-19,115,2639,2639.0,7,3,0.7830272692861034,0.7830272692861034
2023-09-21,75,1735,1735.0,6,3,0.8126841441044316,0.8126841441044316
2023-09-25,84,1986,1986.0,7,3,0.7275443464709539,0.7275443464709539
2023-10-02,185,4365,4365.0,7,3,0.8494014804923842,0.8494014804923842
2023-10-05,100,2308,2308.0,7,3,0.8456434112793618,0.8456434112793618
2023-10-06,55,1247,1247.0,6,3,0.7832969029398157,0.7832969029398157
2023-10-12,65,1493,1493.0,6,3,0.8188923838834954,0.8188923838834954
2023-10-13,68,1475,1475.0,8,3,0.8261443621705108,0.8261443621705108
2023-10-16,54,1232,1232.0,5,3,0.8324445495983475,0.8324445495983475
2023-10-17,20,410,410.0,6,3,0.7464944329652107,0.7464944329652107
2023-10-18,33,729,729.0,5,2,0.7350979073591879,0.7350979073591879
2023-10-19,21,432,432.0,4,3,0.7798900984903891,0.7798900984903891
