selected_date,entropy_weight,entropy_worker_counts,random_worker_counts,equal_worker_counts,volume_worker_counts,same_as_random,same_as_equal,same_as_volume,des_reused_from
2023-07-19,0.1,2|1|2|0,2|1|2|0,2|2|1|0,2|1|2|0,True,False,True,random
2023-07-24,0.1,2|1|3|1,2|1|3|1,2|2|2|1,2|1|3|1,True,False,True,random
2023-07-25,0.1,1|1|2|1,2|1|1|1,2|1|1|1,1|1|2|1,False,False,True,volume_proportional
2023-07-26,0.1,3|1|2|1,2|1|3|1,2|2|2|1,3|1|2|1,False,False,True,volume_proportional
2023-07-27,0.1,3|1|2|0,3|1|2|0,2|2|2|0,3|1|2|0,True,False,True,random
2023-07-28,0.1,7|1|1|1,3|2|3|2,3|3|2|2,7|1|1|1,False,False,True,volume_proportional
2023-07-31,0.1,4|1|1|1,2|1|3|1,2|2|2|1,4|1|1|1,False,False,True,volume_proportional
2023-08-03,0.1,4|0|1|1,3|0|1|2,2|0|2|2,4|0|1|1,False,False,True,volume_proportional
2023-08-07,0.1,4|1|2|1,3|1|3|1,2|2|2|2,4|1|2|1,False,False,True,volume_proportional
2023-08-08,0.1,4|1|2|0,3|2|2|0,3|2|2|0,4|1|2|0,False,False,True,volume_proportional
2023-08-10,0.1,5|1|2|0,3|2|3|0,3|3|2|0,5|1|2|0,False,False,True,volume_proportional
2023-08-13,0.1,2|1|2|1,2|1|2|1,2|2|1|1,2|1|2|1,True,False,True,random
2023-08-15,0.1,2|1|1|1,2|1|1|1,2|1|1|1,2|1|1|1,True,True,True,random
2023-08-16,0.1,3|0|3|0,4|0|2|0,3|0|3|0,3|0|3|0,False,True,True,equal
2023-08-17,0.1,1|1|2|1,2|1|1|1,2|1|1|1,1|1|2|1,False,False,True,volume_proportional
2023-08-22,0.1,3|1|2|1,2|1|3|1,2|2|2|1,3|1|2|1,False,False,True,volume_proportional
2023-08-24,0.1,2|1|3|1,2|1|3|1,2|2|2|1,2|1|3|1,True,False,True,random
2023-08-28,0.1,4|1|2|1,3|1|3|1,2|2|2|2,4|1|2|1,False,False,True,volume_proportional
2023-08-29,0.1,4|0|1|1,3|0|1|2,2|0|2|2,4|0|1|1,False,False,True,volume_proportional
2023-08-30,0.1,2|1|2|1,2|1|2|1,2|2|1|1,2|1|2|1,True,False,True,random
2023-08-31,0.1,3|0|1|1,2|0|1|2,2|0|2|1,3|0|1|1,False,False,True,volume_proportional
2023-09-01,0.1,1|1|2|1,2|1|1|1,2|1|1|1,1|1|2|1,False,False,True,volume_proportional
2023-09-05,0.1,2|1|2|1,2|1|2|1,2|2|1|1,2|1|2|1,True,False,True,random
2023-09-07,0.1,3|1|1|1,2|1|2|1,2|2|1|1,3|1|1|1,False,False,True,volume_proportional
2023-09-10,0.1,0|0|4|3,0|0|4|3,0|0|4|3,0|0|4|3,True,True,True,random
2023-09-12,0.1,3|1|2|1,2|1|3|1,2|2|2|1,3|1|2|1,False,False,True,volume_proportional
2023-09-13,0.1,2|1|2|1,2|1|2|1,2|2|1|1,2|1|2|1,True,False,True,random
2023-09-17,0.1,0|4|0|1,0|3|0|2,0|3|0|2,0|4|0|1,False,False,True,volume_proportional
2023-09-19,0.1,3|1|2|1,2|1|3|1,2|2|2|1,3|1|2|1,False,False,True,volume_proportional
2023-09-21,0.1,2|1|2|1,2|1|2|1,2|2|1|1,2|1|2|1,True,False,True,random
2023-09-25,0.1,1|1|4|1,2|1|3|1,2|2|2|1,1|1|4|1,False,False,True,volume_proportional
2023-10-02,0.1,3|1|2|1,2|1|3|1,2|2|2|1,3|1|2|1,False,False,True,volume_proportional
2023-10-05,0.1,3|1|2|1,2|1|3|1,2|2|2|1,3|1|2|1,False,False,True,volume_proportional
2023-10-06,0.1,2|1|2|1,2|1|2|1,2|2|1|1,2|1|2|1,True,False,True,random
2023-10-12,0.1,2|1|2|1,2|1|2|1,2|2|1|1,2|1|2|1,True,False,True,random
2023-10-13,0.1,4|1|2|1,3|1|3|1,2|2|2|2,4|1|2|1,False,False,True,volume_proportional
2023-10-16,0.1,2|1|1|1,2|1|1|1,2|1|1|1,2|1|1|1,True,True,True,random
2023-10-17,0.1,3|0|2|1,3|0|1|2,2|0|2|2,3|0|2|1,False,False,True,volume_proportional
2023-10-18,0.1,3|0|2|0,3|0|2|0,3|0|2|0,3|0|2|0,True,True,True,random
2023-10-19,0.1,1|1|1|1,1|1|1|1,1|1|1|1,1|1|1|1,True,True,True,random
