cell_id,cell_type,interval_count,unique_workers,worker_seconds,move_worker_seconds,pick_worker_seconds,wait_worker_seconds,occupied_seconds,congested_seconds,max_concurrent_workers
EDGE:AISLE:x=0.860000:y=10.210000<->AISLE:x=1.020000:y=10.210000,edge,22,6,2.9333333333321434,2.9333333333321434,0.0,0.0,2.9333333333321434,0.0,1
EDGE:AISLE:x=0.860000:y=10.210000<->SUP:LC-12,edge,22,6,3.666666666660916,3.666666666660916,0.0,0.0,3.666666666660916,0.0,1
EDGE:AISLE:x=0.860000:y=11.110000<->AISLE:x=1.020000:y=11.110000,edge,23,7,3.0666666666656255,3.0666666666656255,0.0,0.0,3.0666666666656255,0.0,1
EDGE:AISLE:x=0.860000:y=11.110000<->SUP:LC-13,edge,25,7,4.166666666660447,4.166666666660447,0.0,0.0,4.166666666660447,0.0,1
EDGE:AISLE:x=0.860000:y=12.010000<->AISLE:x=1.020000:y=12.010000,edge,24,8,3.1999999999990365,3.1999999999990365,0.0,0.0,3.1999999999990365,0.0,1
EDGE:AISLE:x=0.860000:y=12.010000<->SUP:LC-14,edge,20,8,3.3333333333300317,3.3333333333300317,0.0,0.0,3.3333333333300317,0.0,1
EDGE:AISLE:x=0.860000:y=12.910000<->AISLE:x=1.020000:y=12.910000,edge,21,7,2.799999999999187,2.799999999999187,0.0,0.0,2.799999999999187,0.0,1
EDGE:AISLE:x=0.860000:y=12.910000<->SUP:LC-15,edge,21,7,3.4999999999961915,3.4999999999961915,0.0,0.0,3.4999999999961915,0.0,1
EDGE:AISLE:x=0.860000:y=13.810000<->AISLE:x=1.020000:y=13.810000,edge,11,5,1.4666666666662564,1.4666666666662564,0.0,0.0,1.4666666666662564,0.0,1
EDGE:AISLE:x=0.860000:y=13.810000<->SUP:LC-16,edge,11,5,1.833333333331396,1.833333333331396,0.0,0.0,1.833333333331396,0.0,1
EDGE:AISLE:x=0.860000:y=6.310000<->AISLE:x=1.020000:y=6.310000,edge,8,4,1.0666666666663929,1.0666666666663929,0.0,0.0,1.0666666666663929,0.0,1
EDGE:AISLE:x=0.860000:y=6.310000<->SUP:LC-08,edge,6,4,0.9999999999987352,0.9999999999987352,0.0,0.0,0.9999999999987352,0.0,1
EDGE:AISLE:x=0.860000:y=7.510000<->AISLE:x=1.020000:y=7.510000,edge,12,4,1.5999999999986585,1.5999999999986585,0.0,0.0,1.5999999999986585,0.0,1
